source,company,adress,tel,url,data,NG,架電日①,先方担当者,ステータス,感触・NEXTアクション,重複判定（0以外は架電不可）
DODA,株式会社フジワーク,千葉県,0120-03-2209,http://www.fujiwork.co.jp/,,1,,,架電NG,,1
リクナビ19,ミニストップ株式会社,千葉県,0120-32-2432,,,1,,,架電NG,,1
ハロワ,株式会社ウイング,千葉県,027-386-3120,,,,,,架電NG,,1
ハロワ,テレニシ株式会社,千葉県,03-3263-7388,,代表取締役 辻野 秀信,,,,架電NG,,1
ハロワ,ロンシャン・ジャパン株式会社,千葉県,03-3478-1738,,代表取締役 ニコラ・シトボン,,,,架電NG,,1
ハロワ,株式会社イーウェル,千葉県,03-3511-1948,,代表取締役 藤田 玲,,,,架電NG,,1
ハロワ,コンピューター・システム・エコー株式会社,千葉県,03-3981-6967,,代表取締役 赤羽 晃一,,,,架電NG,,1
ハロワ,株式会社三鈴,千葉県,03-5434-8103,,代表取締役社長 大西 雅美,,,,架電NG,,1
ハロワ,株式会社キャリアイノベーション,千葉県,03-5688-3811,,代表取締役 増田 歩,,,,架電NG,,1
ハロワ,株式会社ユナイテッドアローズ,千葉県,03-6833-6018,,代表取締社長執行役員 竹田光広,,,,架電NG,,1
マイナビ19,株式会社ソフトエイジ,千葉県,04-7142-8255,http://www.softage.co.jp,,1,,,架電NG,,1
キャリタス19,株式会社エスペラントシステム,千葉県,04-7157-6678,,,1,,,架電NG,,1
ハロワ,株式会社 東興電機製作所,千葉県,0422-55-5055,,代表取締役 坂 郷治,,,,架電NG,,1
ハロワ,株式会社エイシル,千葉県,043-216-2664,,長谷川 雄一,,,,架電NG,,1
マイナビ19,ダイハツ千葉販売株式会社,千葉県,043-224-0522,http://www.daihatsu-chiba.co.jp/,,1,,,架電NG,,1
ハロワ,シーデーシー情報システム株式会社,千葉県,043-224-3021,,鈴木 滋,,,,架電NG,,1
マイナビ19,株式会社ネクスト,千葉県,043-227-1000,http://www.e-next.co.jp/,,,,,架電NG,,1
ハロワ,株式会社スリーエス,千葉県,043-234-4608,,代表取締役 前原 東二,,,,架電NG,,1
マイナビ19,株式会社システムイオ,千葉県,043-239-7252,http://www.systemio.co.jp/,,1,,,架電NG,,1
-,株式会社MSK,千葉県,043-245-3151,,,1,,,架電NG,,1
リクナビ19,セイコーソリューションズ株式会社,千葉県,043-273-3299,,,1,,,架電NG,,1
リクナビ19,スターツアメニティー株式会社,千葉県,043-274-1003,,,1,,,架電NG,,1
リクナビ19,三井造船システム技研株式会社,千葉県,043-274-6162,,,1,,,架電NG,,1
ハロワ,株式会社扶堂ネットワークセキュリティ,千葉県,043-296-8793,,代表取締役社長 斎藤明雄,,,,架電NG,,1
キャリタス19,株式会社エアリー,千葉県,043-304-6617,,,1,,,架電NG,,1
キャリタス19,株式会社エニプラ,千葉県,043-306-7600,,,1,,,架電NG,,1
キャリタス19,株式会社イーエスケイ,千葉県,0438-40-5290,,,1,,,架電NG,,1
ハロワ,株式会社イーエスケイ,千葉県,0438-40-5290,,片山健史,,,,架電NG,,1
-,株式会社正木設計,千葉県,0439-54-6500,https://tenshoku.mynavi.jp/jobinfo-136336-2-1-1/?search_tracking_id=895062861,計測業務、未経験、69名,1,,,架電NG,,1
マイナビ19,レグセントジョイラー株式会社,千葉県,047-312-1121,http://www.legcent.com,,,,,架電NG,,1
エン・ジャパン,株式会社インパクト,千葉県,047-314-1858,,,1,,,架電NG,,2
ハロワ,エース株式会社,千葉県,047-320-3133,,代表取締役 阿部 一隆,,,,架電NG,,2
キャリタス19,株式会社マツモトキヨシ,千葉県,047-344-5111,,,,,,架電NG,,2
リクナビ19,株式会社パトリオット,千葉県,047-344-9246,,,1,,,架電NG,,3
リクナビ19,株式会社フテロシステム,千葉県,047-359-5481,,,1,,,架電NG,,3
ハロワ,株式会社グローアップ,千葉県,047-401-3858,,佐久間 尚喜,,,,架電NG,,2
エン・ジャパン,株式会社オルト,千葉県,047-401-5078,,,1,,,架電NG,,2
マイナビ転職,株式会社クラウンジュエル,千葉県,047-408-1282,,,1,,,架電NG,,2
マイナビ転職,株式会社イーテクノロジー,千葉県,047-411-6888,,,1,,,架電NG,,2
マイナビ19,株式会社NID・MI,千葉県,047-433-1000,http://www.nidmi.co.jp/,,1,,,架電NG,,2
マイナビ19,株式会社クロスファクトリー,千葉県,047-433-8225,http://cross-f.co.jp/recruit/<br/>,,1,,,架電NG,,2
-,株式会社カーム,千葉県,047-440-8088,http://type.jp/job-12/1076070_detail/?pathway=4,,1,,,架電NG,,2
ハロワ,住商グローバル・ロジスティクス株式会社,千葉県,047-455-1100,,代表取締役社長 沖廣 克也,,,,架電NG,,2
ハロワ,株式会社アスカ,千葉県,047-490-9167,,谷津 藤夫,,,,架電NG,,2
ハロワ,株式会社ステラ,千葉県,047-498-5620,,渡邊 ひろ子,,,,架電NG,,2
ハロワ,株式会社ステラ,千葉県,047-498-5628,,渡邊 ひろ子,,,,架電NG,,2
キャリタス19,マブチモーター株式会社,千葉県,047-710-1032,,,1,,,架電NG,,13
ハロワ,株式会社アスカ,千葉県,047-712-8155,,守矢 隆,,,,架電NG,,3
ハロワ,株式会社アスカ,千葉県,048-813-4110,,守矢 隆,,,,架電NG,,2
ハロワ,株式会社湯山製作所,千葉県,06-7632-3131,,湯山 裕之,,,,架電NG,,2
ハロワ,株式会社ネクシス,千葉県,092-483-6033,,代表取締役 浦崎 忠雄,,,,架電NG,,2
ハロワ,株式会社ネクステージ,千葉県,043-216-4621,,北 寿幸,,,,架電NG,,2
マイナビ19,社会福祉法人慶美会,千葉県,047-337-1231,http://care-net.biz/12/keibikai/<br/>※ぜひご覧下さい。<br/>,,,,,架電NG,,2
マイナビ19,株式会社シーネット,千葉県,047-422-1291,http://www.cross-docking.com/,,1,,,架電NG,,2
